"Statistic Label","Quarter","Domestic","Reason for Journey","UNIT","VALUE"
"Number of Trips by Irish Residents","2001Q3","Outbound","Business","Thousand","127"
"Number of Trips by Irish Residents","2001Q3","Outbound","Visiting friends/relatives","Thousand","177"
"Number of Trips by Irish Residents","2001Q3","Outbound","Other reasons","Thousand","70"
"Number of Trips by Irish Residents","2001Q4","Domestic","All reasons for journey","Thousand","1570"
"Number of Trips by Irish Residents","2001Q4","Domestic","Holiday","Thousand","521"
"Number of Trips by Irish Residents","2001Q4","Domestic","Business","Thousand","199"
"Number of Trips by Irish Residents","2001Q4","Domestic","Visiting friends/relatives","Thousand","661"
"Number of Trips by Irish Residents","2001Q4","Domestic","Other reasons","Thousand","189"
"Number of Trips by Irish Residents","2001Q4","Outbound","All reasons for journey","Thousand","903"
"Number of Trips by Irish Residents","2001Q4","Outbound","Holiday","Thousand","439"
"Number of Trips by Irish Residents","2001Q4","Outbound","Business","Thousand","162"
"Number of Trips by Irish Residents","2001Q4","Outbound","Visiting friends/relatives","Thousand","234"
"Number of Trips by Irish Residents","2001Q4","Outbound","Other reasons","Thousand","69"
"Number of Trips by Irish Residents","2002Q1","Domestic","All reasons for journey","Thousand","1360"
"Number of Trips by Irish Residents","2002Q1","Domestic","Holiday","Thousand","485"
"Number of Trips by Irish Residents","2002Q1","Domestic","Business","Thousand","143"
"Number of Trips by Irish Residents","2002Q1","Domestic","Visiting friends/relatives","Thousand","582"
"Number of Trips by Irish Residents","2002Q1","Domestic","Other reasons","Thousand","151"
"Number of Trips by Irish Residents","2002Q1","Outbound","All reasons for journey","Thousand","884"
"Number of Trips by Irish Residents","2002Q1","Outbound","Holiday","Thousand","459"
"Number of Trips by Irish Residents","2002Q1","Outbound","Business","Thousand","164"
"Number of Trips by Irish Residents","2002Q1","Outbound","Visiting friends/relatives","Thousand","189"
"Number of Trips by Irish Residents","2002Q1","Outbound","Other reasons","Thousand","72"
"Number of Trips by Irish Residents","2002Q2","Domestic","All reasons for journey","Thousand","1446"
"Number of Trips by Irish Residents","2002Q2","Domestic","Holiday","Thousand","652"
"Number of Trips by Irish Residents","2002Q2","Domestic","Business","Thousand","143"
