"Statistic Label","Quarter","Domestic","Reason for Journey","UNIT","VALUE"
"Number of Trips by Irish Residents","2022Q1","Outbound","Visiting friends/relatives","Thousand","358"
"Number of Trips by Irish Residents","2022Q1","Outbound","Other reasons","Thousand","93"
"Number of Trips by Irish Residents","2022Q2","Domestic","All reasons for journey","Thousand","3397"
"Number of Trips by Irish Residents","2022Q2","Domestic","Holiday","Thousand","1817"
"Number of Trips by Irish Residents","2022Q2","Domestic","Business","Thousand","193"
"Number of Trips by Irish Residents","2022Q2","Domestic","Visiting friends/relatives","Thousand","1040"
"Number of Trips by Irish Residents","2022Q2","Domestic","Other reasons","Thousand","347"
"Number of Trips by Irish Residents","2022Q2","Outbound","All reasons for journey","Thousand","2219"
"Number of Trips by Irish Residents","2022Q2","Outbound","Holiday","Thousand","1268"
"Number of Trips by Irish Residents","2022Q2","Outbound","Business","Thousand","110"
"Number of Trips by Irish Residents","2022Q2","Outbound","Visiting friends/relatives","Thousand","606"
"Number of Trips by Irish Residents","2022Q2","Outbound","Other reasons","Thousand","235"
"Number of Trips by Irish Residents","2022Q3","Domestic","All reasons for journey","Thousand","4506"
"Number of Trips by Irish Residents","2022Q3","Domestic","Holiday","Thousand","2623"
"Number of Trips by Irish Residents","2022Q3","Domestic","Business","Thousand","125"
"Number of Trips by Irish Residents","2022Q3","Domestic","Visiting friends/relatives","Thousand","1295"
"Number of Trips by Irish Residents","2022Q3","Domestic","Other reasons","Thousand","464"
"Number of Trips by Irish Residents","2022Q3","Outbound","All reasons for journey","Thousand","3105"
"Number of Trips by Irish Residents","2022Q3","Outbound","Holiday","Thousand","2367"
"Number of Trips by Irish Residents","2022Q3","Outbound","Business","Thousand","114"
"Number of Trips by Irish Residents","2022Q3","Outbound","Visiting friends/relatives","Thousand","533"
"Number of Trips by Irish Residents","2022Q3","Outbound","Other reasons","Thousand","91"
"Number of Trips by Irish Residents","2022Q4","Domestic","All reasons for journey","Thousand","3064"
"Number of Trips by Irish Residents","2022Q4","Domestic","Holiday","Thousand","1089"
"Number of Trips by Irish Residents","2022Q4","Domestic","Business","Thousand","133"
"Number of Trips by Irish Residents","2022Q4","Domestic","Visiting friends/relatives","Thousand","1350"
"Number of Trips by Irish Residents","2022Q4","Domestic","Other reasons","Thousand","491"
"Number of Trips by Irish Residents","2022Q4","Outbound","All reasons for journey","Thousand","2374"
"Number of Trips by Irish Residents","2022Q4","Outbound","Holiday","Thousand","1290"
"Number of Trips by Irish Residents","2022Q4","Outbound","Business","Thousand","218"
"Number of Trips by Irish Residents","2022Q4","Outbound","Visiting friends/relatives","Thousand","694"
"Number of Trips by Irish Residents","2022Q4","Outbound","Other reasons","Thousand","173"
"Number of Nights by Irish Residents","2000Q1","Domestic","All reasons for journey","Thousand","3578"
"Number of Nights by Irish Residents","2000Q1","Domestic","Holiday","Thousand","1279"
"Number of Nights by Irish Residents","2000Q1","Domestic","Business","Thousand","517"
"Number of Nights by Irish Residents","2000Q1","Domestic","Visiting friends/relatives","Thousand","1261"
"Number of Nights by Irish Residents","2000Q1","Domestic","Other reasons","Thousand","521"
"Number of Nights by Irish Residents","2000Q1","Outbound","All reasons for journey","Thousand","5518"
"Number of Nights by Irish Residents","2000Q1","Outbound","Holiday","Thousand","2849"
"Number of Nights by Irish Residents","2000Q1","Outbound","Business","Thousand","928"
"Number of Nights by Irish Residents","2000Q1","Outbound","Visiting friends/relatives","Thousand","1147"
"Number of Nights by Irish Residents","2000Q1","Outbound","Other reasons","Thousand","594"
"Number of Nights by Irish Residents","2000Q2","Domestic","All reasons for journey","Thousand","4340"
"Number of Nights by Irish Residents","2000Q2","Domestic","Holiday","Thousand","2201"
"Number of Nights by Irish Residents","2000Q2","Domestic","Business","Thousand","410"
"Number of Nights by Irish Residents","2000Q2","Domestic","Visiting friends/relatives","Thousand","1234"
"Number of Nights by Irish Residents","2000Q2","Domestic","Other reasons","Thousand","495"
"Number of Nights by Irish Residents","2000Q2","Outbound","All reasons for journey","Thousand","10537"
"Number of Nights by Irish Residents","2000Q2","Outbound","Holiday","Thousand","7249"
"Number of Nights by Irish Residents","2000Q2","Outbound","Business","Thousand","972"
"Number of Nights by Irish Residents","2000Q2","Outbound","Visiting friends/relatives","Thousand","1305"
"Number of Nights by Irish Residents","2000Q2","Outbound","Other reasons","Thousand","1012"
"Number of Nights by Irish Residents","2000Q3","Domestic","All reasons for journey","Thousand","8957"
"Number of Nights by Irish Residents","2000Q3","Domestic","Holiday","Thousand","6601"
"Number of Nights by Irish Residents","2000Q3","Domestic","Business","Thousand","343"
"Number of Nights by Irish Residents","2000Q3","Domestic","Visiting friends/relatives","Thousand","1545"
"Number of Nights by Irish Residents","2000Q3","Domestic","Other reasons","Thousand","469"
"Number of Nights by Irish Residents","2000Q3","Outbound","All reasons for journey","Thousand","13411"
"Number of Nights by Irish Residents","2000Q3","Outbound","Holiday","Thousand","10359"
"Number of Nights by Irish Residents","2000Q3","Outbound","Business","Thousand","1039"
"Number of Nights by Irish Residents","2000Q3","Outbound","Visiting friends/relatives","Thousand","1233"
"Number of Nights by Irish Residents","2000Q3","Outbound","Other reasons","Thousand","780"
"Number of Nights by Irish Residents","2000Q4","Domestic","All reasons for journey","Thousand","3828"
"Number of Nights by Irish Residents","2000Q4","Domestic","Holiday","Thousand","1384"
"Number of Nights by Irish Residents","2000Q4","Domestic","Business","Thousand","401"
"Number of Nights by Irish Residents","2000Q4","Domestic","Visiting friends/relatives","Thousand","1611"
"Number of Nights by Irish Residents","2000Q4","Domestic","Other reasons","Thousand","431"
"Number of Nights by Irish Residents","2000Q4","Outbound","All reasons for journey","Thousand","6078"
"Number of Nights by Irish Residents","2000Q4","Outbound","Holiday","Thousand","3426"
"Number of Nights by Irish Residents","2000Q4","Outbound","Business","Thousand","789"
"Number of Nights by Irish Residents","2000Q4","Outbound","Visiting friends/relatives","Thousand","1439"
"Number of Nights by Irish Residents","2000Q4","Outbound","Other reasons","Thousand","424"
"Number of Nights by Irish Residents","2001Q1","Domestic","All reasons for journey","Thousand","3341"
"Number of Nights by Irish Residents","2001Q1","Domestic","Holiday","Thousand","1331"
"Number of Nights by Irish Residents","2001Q1","Domestic","Business","Thousand","416"
"Number of Nights by Irish Residents","2001Q1","Domestic","Visiting friends/relatives","Thousand","1117"
"Number of Nights by Irish Residents","2001Q1","Domestic","Other reasons","Thousand","476"
"Number of Nights by Irish Residents","2001Q1","Outbound","All reasons for journey","Thousand","5523"
"Number of Nights by Irish Residents","2001Q1","Outbound","Holiday","Thousand","3113"
"Number of Nights by Irish Residents","2001Q1","Outbound","Business","Thousand","899"
"Number of Nights by Irish Residents","2001Q1","Outbound","Visiting friends/relatives","Thousand","1013"
"Number of Nights by Irish Residents","2001Q1","Outbound","Other reasons","Thousand","498"
"Number of Nights by Irish Residents","2001Q2","Domestic","All reasons for journey","Thousand","4663"
"Number of Nights by Irish Residents","2001Q2","Domestic","Holiday","Thousand","2596"
"Number of Nights by Irish Residents","2001Q2","Domestic","Business","Thousand","362"
"Number of Nights by Irish Residents","2001Q2","Domestic","Visiting friends/relatives","Thousand","1221"
"Number of Nights by Irish Residents","2001Q2","Domestic","Other reasons","Thousand","484"
"Number of Nights by Irish Residents","2001Q2","Outbound","All reasons for journey","Thousand","11221"
"Number of Nights by Irish Residents","2001Q2","Outbound","Holiday","Thousand","8431"
"Number of Nights by Irish Residents","2001Q2","Outbound","Business","Thousand","937"
"Number of Nights by Irish Residents","2001Q2","Outbound","Visiting friends/relatives","Thousand","988"
"Number of Nights by Irish Residents","2001Q2","Outbound","Other reasons","Thousand","866"
"Number of Nights by Irish Residents","2001Q3","Domestic","All reasons for journey","Thousand","10899"
"Number of Nights by Irish Residents","2001Q3","Domestic","Holiday","Thousand","7773"
"Number of Nights by Irish Residents","2001Q3","Domestic","Business","Thousand","506"
"Number of Nights by Irish Residents","2001Q3","Domestic","Visiting friends/relatives","Thousand","1725"
"Number of Nights by Irish Residents","2001Q3","Domestic","Other reasons","Thousand","895"
"Number of Nights by Irish Residents","2001Q3","Outbound","All reasons for journey","Thousand","14821"
"Number of Nights by Irish Residents","2001Q3","Outbound","Holiday","Thousand","11666"
"Number of Nights by Irish Residents","2001Q3","Outbound","Business","Thousand","897"
"Number of Nights by Irish Residents","2001Q3","Outbound","Visiting friends/relatives","Thousand","1551"
"Number of Nights by Irish Residents","2001Q3","Outbound","Other reasons","Thousand","707"
"Number of Nights by Irish Residents","2001Q4","Domestic","All reasons for journey","Thousand","4305"
"Number of Nights by Irish Residents","2001Q4","Domestic","Holiday","Thousand","1527"
"Number of Nights by Irish Residents","2001Q4","Domestic","Business","Thousand","494"
"Number of Nights by Irish Residents","2001Q4","Domestic","Visiting friends/relatives","Thousand","1759"
"Number of Nights by Irish Residents","2001Q4","Domestic","Other reasons","Thousand","525"
"Number of Nights by Irish Residents","2001Q4","Outbound","All reasons for journey","Thousand","6388"
"Number of Nights by Irish Residents","2001Q4","Outbound","Holiday","Thousand","3576"
"Number of Nights by Irish Residents","2001Q4","Outbound","Business","Thousand","728"
"Number of Nights by Irish Residents","2001Q4","Outbound","Visiting friends/relatives","Thousand","1624"
"Number of Nights by Irish Residents","2001Q4","Outbound","Other reasons","Thousand","459"
"Number of Nights by Irish Residents","2002Q1","Domestic","All reasons for journey","Thousand","3645"
"Number of Nights by Irish Residents","2002Q1","Domestic","Holiday","Thousand","1389"
"Number of Nights by Irish Residents","2002Q1","Domestic","Business","Thousand","349"
"Number of Nights by Irish Residents","2002Q1","Domestic","Visiting friends/relatives","Thousand","1424"
"Number of Nights by Irish Residents","2002Q1","Domestic","Other reasons","Thousand","483"
"Number of Nights by Irish Residents","2002Q1","Outbound","All reasons for journey","Thousand","6272"
"Number of Nights by Irish Residents","2002Q1","Outbound","Holiday","Thousand","3539"
"Number of Nights by Irish Residents","2002Q1","Outbound","Business","Thousand","690"
"Number of Nights by Irish Residents","2002Q1","Outbound","Visiting friends/relatives","Thousand","1373"
"Number of Nights by Irish Residents","2002Q1","Outbound","Other reasons","Thousand","671"
"Number of Nights by Irish Residents","2002Q2","Domestic","All reasons for journey","Thousand","4621"
"Number of Nights by Irish Residents","2002Q2","Domestic","Holiday","Thousand","2343"
"Number of Nights by Irish Residents","2002Q2","Domestic","Business","Thousand","462"
"Number of Nights by Irish Residents","2002Q2","Domestic","Visiting friends/relatives","Thousand","1158"
"Number of Nights by Irish Residents","2002Q2","Domestic","Other reasons","Thousand","658"
"Number of Nights by Irish Residents","2002Q2","Outbound","All reasons for journey","Thousand","11081"
"Number of Nights by Irish Residents","2002Q2","Outbound","Holiday","Thousand","8093"
"Number of Nights by Irish Residents","2002Q2","Outbound","Business","Thousand","807"
"Number of Nights by Irish Residents","2002Q2","Outbound","Visiting friends/relatives","Thousand","1320"
"Number of Nights by Irish Residents","2002Q2","Outbound","Other reasons","Thousand","861"
"Number of Nights by Irish Residents","2002Q3","Domestic","All reasons for journey","Thousand","9818"
"Number of Nights by Irish Residents","2002Q3","Domestic","Holiday","Thousand","6980"
"Number of Nights by Irish Residents","2002Q3","Domestic","Business","Thousand","379"
"Number of Nights by Irish Residents","2002Q3","Domestic","Visiting friends/relatives","Thousand","1718"
"Number of Nights by Irish Residents","2002Q3","Domestic","Other reasons","Thousand","741"
"Number of Nights by Irish Residents","2002Q3","Outbound","All reasons for journey","Thousand","16260"
"Number of Nights by Irish Residents","2002Q3","Outbound","Holiday","Thousand","12798"
"Number of Nights by Irish Residents","2002Q3","Outbound","Business","Thousand","934"
"Number of Nights by Irish Residents","2002Q3","Outbound","Visiting friends/relatives","Thousand","1788"
"Number of Nights by Irish Residents","2002Q3","Outbound","Other reasons","Thousand","739"
"Number of Nights by Irish Residents","2002Q4","Domestic","All reasons for journey","Thousand","4138"
"Number of Nights by Irish Residents","2002Q4","Domestic","Holiday","Thousand","1386"
"Number of Nights by Irish Residents","2002Q4","Domestic","Business","Thousand","444"
"Number of Nights by Irish Residents","2002Q4","Domestic","Visiting friends/relatives","Thousand","1820"
"Number of Nights by Irish Residents","2002Q4","Domestic","Other reasons","Thousand","489"
"Number of Nights by Irish Residents","2002Q4","Outbound","All reasons for journey","Thousand","7047"
"Number of Nights by Irish Residents","2002Q4","Outbound","Holiday","Thousand","3922"
"Number of Nights by Irish Residents","2002Q4","Outbound","Business","Thousand","732"
"Number of Nights by Irish Residents","2002Q4","Outbound","Visiting friends/relatives","Thousand","1934"
"Number of Nights by Irish Residents","2002Q4","Outbound","Other reasons","Thousand","459"
"Number of Nights by Irish Residents","2003Q1","Domestic","All reasons for journey","Thousand","3819"
"Number of Nights by Irish Residents","2003Q1","Domestic","Holiday","Thousand","1464"
"Number of Nights by Irish Residents","2003Q1","Domestic","Business","Thousand","446"
"Number of Nights by Irish Residents","2003Q1","Domestic","Visiting friends/relatives","Thousand","1350"
"Number of Nights by Irish Residents","2003Q1","Domestic","Other reasons","Thousand","559"
"Number of Nights by Irish Residents","2003Q1","Outbound","All reasons for journey","Thousand","6491"
"Number of Nights by Irish Residents","2003Q1","Outbound","Holiday","Thousand","3902"
"Number of Nights by Irish Residents","2003Q1","Outbound","Business","Thousand","739"
"Number of Nights by Irish Residents","2003Q1","Outbound","Visiting friends/relatives","Thousand","1162"
"Number of Nights by Irish Residents","2003Q1","Outbound","Other reasons","Thousand","687"
"Number of Nights by Irish Residents","2003Q2","Domestic","All reasons for journey","Thousand","4589"
"Number of Nights by Irish Residents","2003Q2","Domestic","Holiday","Thousand","2271"
"Number of Nights by Irish Residents","2003Q2","Domestic","Business","Thousand","414"
"Number of Nights by Irish Residents","2003Q2","Domestic","Visiting friends/relatives","Thousand","1226"
"Number of Nights by Irish Residents","2003Q2","Domestic","Other reasons","Thousand","678"
"Number of Nights by Irish Residents","2003Q2","Outbound","All reasons for journey","Thousand","12331"
"Number of Nights by Irish Residents","2003Q2","Outbound","Holiday","Thousand","9260"
"Number of Nights by Irish Residents","2003Q2","Outbound","Business","Thousand","842"
"Number of Nights by Irish Residents","2003Q2","Outbound","Visiting friends/relatives","Thousand","1191"
"Number of Nights by Irish Residents","2003Q2","Outbound","Other reasons","Thousand","1038"
"Number of Nights by Irish Residents","2003Q3","Domestic","All reasons for journey","Thousand","10346"
"Number of Nights by Irish Residents","2003Q3","Domestic","Holiday","Thousand","7518"
"Number of Nights by Irish Residents","2003Q3","Domestic","Business","Thousand","415"
"Number of Nights by Irish Residents","2003Q3","Domestic","Visiting friends/relatives","Thousand","1719"
"Number of Nights by Irish Residents","2003Q3","Domestic","Other reasons","Thousand","695"
"Number of Nights by Irish Residents","2003Q3","Outbound","All reasons for journey","Thousand","16776"
"Number of Nights by Irish Residents","2003Q3","Outbound","Holiday","Thousand","13172"
"Number of Nights by Irish Residents","2003Q3","Outbound","Business","Thousand","1054"
"Number of Nights by Irish Residents","2003Q3","Outbound","Visiting friends/relatives","Thousand","1807"
"Number of Nights by Irish Residents","2003Q3","Outbound","Other reasons","Thousand","743"
"Number of Nights by Irish Residents","2003Q4","Domestic","All reasons for journey","Thousand","4861"
"Number of Nights by Irish Residents","2003Q4","Domestic","Holiday","Thousand","1757"
"Number of Nights by Irish Residents","2003Q4","Domestic","Business","Thousand","512"
"Number of Nights by Irish Residents","2003Q4","Domestic","Visiting friends/relatives","Thousand","2214"
"Number of Nights by Irish Residents","2003Q4","Domestic","Other reasons","Thousand","378"
"Number of Nights by Irish Residents","2003Q4","Outbound","All reasons for journey","Thousand","8104"
"Number of Nights by Irish Residents","2003Q4","Outbound","Holiday","Thousand","4781"
"Number of Nights by Irish Residents","2003Q4","Outbound","Business","Thousand","785"
"Number of Nights by Irish Residents","2003Q4","Outbound","Visiting friends/relatives","Thousand","1990"
"Number of Nights by Irish Residents","2003Q4","Outbound","Other reasons","Thousand","547"
"Number of Nights by Irish Residents","2004Q1","Domestic","All reasons for journey","Thousand","4174"
"Number of Nights by Irish Residents","2004Q1","Domestic","Holiday","Thousand","1616"
"Number of Nights by Irish Residents","2004Q1","Domestic","Business","Thousand","457"
"Number of Nights by Irish Residents","2004Q1","Domestic","Visiting friends/relatives","Thousand","1556"
"Number of Nights by Irish Residents","2004Q1","Domestic","Other reasons","Thousand","545"
"Number of Nights by Irish Residents","2004Q1","Outbound","All reasons for journey","Thousand","7567"
"Number of Nights by Irish Residents","2004Q1","Outbound","Holiday","Thousand","4696"
"Number of Nights by Irish Residents","2004Q1","Outbound","Business","Thousand","896"
"Number of Nights by Irish Residents","2004Q1","Outbound","Visiting friends/relatives","Thousand","1466"
"Number of Nights by Irish Residents","2004Q1","Outbound","Other reasons","Thousand","509"
"Number of Nights by Irish Residents","2004Q2","Domestic","All reasons for journey","Thousand","4689"
"Number of Nights by Irish Residents","2004Q2","Domestic","Holiday","Thousand","2429"
"Number of Nights by Irish Residents","2004Q2","Domestic","Business","Thousand","455"
"Number of Nights by Irish Residents","2004Q2","Domestic","Visiting friends/relatives","Thousand","1188"
"Number of Nights by Irish Residents","2004Q2","Domestic","Other reasons","Thousand","618"
"Number of Nights by Irish Residents","2004Q2","Outbound","All reasons for journey","Thousand","12688"
"Number of Nights by Irish Residents","2004Q2","Outbound","Holiday","Thousand","9497"
"Number of Nights by Irish Residents","2004Q2","Outbound","Business","Thousand","803"
"Number of Nights by Irish Residents","2004Q2","Outbound","Visiting friends/relatives","Thousand","1835"
"Number of Nights by Irish Residents","2004Q2","Outbound","Other reasons","Thousand","552"
"Number of Nights by Irish Residents","2004Q3","Domestic","All reasons for journey","Thousand","10653"
"Number of Nights by Irish Residents","2004Q3","Domestic","Holiday","Thousand","7591"
"Number of Nights by Irish Residents","2004Q3","Domestic","Business","Thousand","417"
"Number of Nights by Irish Residents","2004Q3","Domestic","Visiting friends/relatives","Thousand","1793"
"Number of Nights by Irish Residents","2004Q3","Domestic","Other reasons","Thousand","852"
"Number of Nights by Irish Residents","2004Q3","Outbound","All reasons for journey","Thousand","18193"
"Number of Nights by Irish Residents","2004Q3","Outbound","Holiday","Thousand","14579"
"Number of Nights by Irish Residents","2004Q3","Outbound","Business","Thousand","1037"
"Number of Nights by Irish Residents","2004Q3","Outbound","Visiting friends/relatives","Thousand","1813"
"Number of Nights by Irish Residents","2004Q3","Outbound","Other reasons","Thousand","764"
"Number of Nights by Irish Residents","2004Q4","Domestic","All reasons for journey","Thousand","4673"
"Number of Nights by Irish Residents","2004Q4","Domestic","Holiday","Thousand","1870"
"Number of Nights by Irish Residents","2004Q4","Domestic","Business","Thousand","337"
"Number of Nights by Irish Residents","2004Q4","Domestic","Visiting friends/relatives","Thousand","1940"
"Number of Nights by Irish Residents","2004Q4","Domestic","Other reasons","Thousand","525"
"Number of Nights by Irish Residents","2004Q4","Outbound","All reasons for journey","Thousand","7854"
"Number of Nights by Irish Residents","2004Q4","Outbound","Holiday","Thousand","4921"
"Number of Nights by Irish Residents","2004Q4","Outbound","Business","Thousand","694"
"Number of Nights by Irish Residents","2004Q4","Outbound","Visiting friends/relatives","Thousand","1791"
"Number of Nights by Irish Residents","2004Q4","Outbound","Other reasons","Thousand","448"
"Number of Nights by Irish Residents","2005Q1","Domestic","All reasons for journey","Thousand","4170"
"Number of Nights by Irish Residents","2005Q1","Domestic","Holiday","Thousand","1705"
"Number of Nights by Irish Residents","2005Q1","Domestic","Business","Thousand","449"
"Number of Nights by Irish Residents","2005Q1","Domestic","Visiting friends/relatives","Thousand","1589"
"Number of Nights by Irish Residents","2005Q1","Domestic","Other reasons","Thousand","427"
"Number of Nights by Irish Residents","2005Q1","Outbound","All reasons for journey","Thousand","8502"
"Number of Nights by Irish Residents","2005Q1","Outbound","Holiday","Thousand","5616"
"Number of Nights by Irish Residents","2005Q1","Outbound","Business","Thousand","746"
"Number of Nights by Irish Residents","2005Q1","Outbound","Visiting friends/relatives","Thousand","1551"
"Number of Nights by Irish Residents","2005Q1","Outbound","Other reasons","Thousand","588"
"Number of Nights by Irish Residents","2005Q2","Domestic","All reasons for journey","Thousand","5195"
"Number of Nights by Irish Residents","2005Q2","Domestic","Holiday","Thousand","2691"
"Number of Nights by Irish Residents","2005Q2","Domestic","Business","Thousand","541"
"Number of Nights by Irish Residents","2005Q2","Domestic","Visiting friends/relatives","Thousand","1296"
"Number of Nights by Irish Residents","2005Q2","Domestic","Other reasons","Thousand","666"
"Number of Nights by Irish Residents","2005Q2","Outbound","All reasons for journey","Thousand","14592"
"Number of Nights by Irish Residents","2005Q2","Outbound","Holiday","Thousand","10388"
"Number of Nights by Irish Residents","2005Q2","Outbound","Business","Thousand","1250"
"Number of Nights by Irish Residents","2005Q2","Outbound","Visiting friends/relatives","Thousand","1561"
"Number of Nights by Irish Residents","2005Q2","Outbound","Other reasons","Thousand","1393"
"Number of Nights by Irish Residents","2005Q3","Domestic","All reasons for journey","Thousand","10685"
"Number of Nights by Irish Residents","2005Q3","Domestic","Holiday","Thousand","7593"
"Number of Nights by Irish Residents","2005Q3","Domestic","Business","Thousand","423"
"Number of Nights by Irish Residents","2005Q3","Domestic","Visiting friends/relatives","Thousand","1739"
"Number of Nights by Irish Residents","2005Q3","Domestic","Other reasons","Thousand","931"
"Number of Nights by Irish Residents","2005Q3","Outbound","All reasons for journey","Thousand","19828"
"Number of Nights by Irish Residents","2005Q3","Outbound","Holiday","Thousand","15742"
"Number of Nights by Irish Residents","2005Q3","Outbound","Business","Thousand","933"
"Number of Nights by Irish Residents","2005Q3","Outbound","Visiting friends/relatives","Thousand","2156"
"Number of Nights by Irish Residents","2005Q3","Outbound","Other reasons","Thousand","996"
"Number of Nights by Irish Residents","2005Q4","Domestic","All reasons for journey","Thousand","4557"
"Number of Nights by Irish Residents","2005Q4","Domestic","Holiday","Thousand","1687"
"Number of Nights by Irish Residents","2005Q4","Domestic","Business","Thousand","560"
"Number of Nights by Irish Residents","2005Q4","Domestic","Visiting friends/relatives","Thousand","1911"
"Number of Nights by Irish Residents","2005Q4","Domestic","Other reasons","Thousand","398"
"Number of Nights by Irish Residents","2005Q4","Outbound","All reasons for journey","Thousand","8581"
"Number of Nights by Irish Residents","2005Q4","Outbound","Holiday","Thousand","4968"
"Number of Nights by Irish Residents","2005Q4","Outbound","Business","Thousand","941"
"Number of Nights by Irish Residents","2005Q4","Outbound","Visiting friends/relatives","Thousand","2438"
"Number of Nights by Irish Residents","2005Q4","Outbound","Other reasons","Thousand","234"
"Number of Nights by Irish Residents","2006Q1","Domestic","All reasons for journey","Thousand","3708"
"Number of Nights by Irish Residents","2006Q1","Domestic","Holiday","Thousand","1733"
"Number of Nights by Irish Residents","2006Q1","Domestic","Business","Thousand","425"
"Number of Nights by Irish Residents","2006Q1","Domestic","Visiting friends/relatives","Thousand","1216"
"Number of Nights by Irish Residents","2006Q1","Domestic","Other reasons","Thousand","334"
"Number of Nights by Irish Residents","2006Q1","Outbound","All reasons for journey","Thousand","9140"
"Number of Nights by Irish Residents","2006Q1","Outbound","Holiday","Thousand","5772"
"Number of Nights by Irish Residents","2006Q1","Outbound","Business","Thousand","950"
"Number of Nights by Irish Residents","2006Q1","Outbound","Visiting friends/relatives","Thousand","1993"
"Number of Nights by Irish Residents","2006Q1","Outbound","Other reasons","Thousand","424"
"Number of Nights by Irish Residents","2006Q2","Domestic","All reasons for journey","Thousand","5357"
"Number of Nights by Irish Residents","2006Q2","Domestic","Holiday","Thousand","2620"
"Number of Nights by Irish Residents","2006Q2","Domestic","Business","Thousand","827"
"Number of Nights by Irish Residents","2006Q2","Domestic","Visiting friends/relatives","Thousand","1446"
"Number of Nights by Irish Residents","2006Q2","Domestic","Other reasons","Thousand","464"
"Number of Nights by Irish Residents","2006Q2","Outbound","All reasons for journey","Thousand","14731"
"Number of Nights by Irish Residents","2006Q2","Outbound","Holiday","Thousand","10907"
"Number of Nights by Irish Residents","2006Q2","Outbound","Business","Thousand","1275"
"Number of Nights by Irish Residents","2006Q2","Outbound","Visiting friends/relatives","Thousand","2064"
"Number of Nights by Irish Residents","2006Q2","Outbound","Other reasons","Thousand","485"
"Number of Nights by Irish Residents","2006Q3","Domestic","All reasons for journey","Thousand","10659"
"Number of Nights by Irish Residents","2006Q3","Domestic","Holiday","Thousand","8080"
"Number of Nights by Irish Residents","2006Q3","Domestic","Business","Thousand","1638"
"Number of Nights by Irish Residents","2006Q3","Domestic","Visiting friends/relatives","Thousand","414"
"Number of Nights by Irish Residents","2006Q3","Domestic","Other reasons","Thousand","527"
"Number of Nights by Irish Residents","2006Q3","Outbound","All reasons for journey","Thousand","20378"
"Number of Nights by Irish Residents","2006Q3","Outbound","Holiday","Thousand","15928"
"Number of Nights by Irish Residents","2006Q3","Outbound","Business","Thousand","2621"
"Number of Nights by Irish Residents","2006Q3","Outbound","Visiting friends/relatives","Thousand","1133"
"Number of Nights by Irish Residents","2006Q3","Outbound","Other reasons","Thousand","695"
"Number of Nights by Irish Residents","2006Q4","Domestic","All reasons for journey","Thousand","4479"
"Number of Nights by Irish Residents","2006Q4","Domestic","Holiday","Thousand","1941"
"Number of Nights by Irish Residents","2006Q4","Domestic","Business","Thousand","414"
"Number of Nights by Irish Residents","2006Q4","Domestic","Visiting friends/relatives","Thousand","1868"
"Number of Nights by Irish Residents","2006Q4","Domestic","Other reasons","Thousand","255"
"Number of Nights by Irish Residents","2006Q4","Outbound","All reasons for journey","Thousand","10017"
"Number of Nights by Irish Residents","2006Q4","Outbound","Holiday","Thousand","6276"
"Number of Nights by Irish Residents","2006Q4","Outbound","Business","Thousand","924"
"Number of Nights by Irish Residents","2006Q4","Outbound","Visiting friends/relatives","Thousand","2385"
"Number of Nights by Irish Residents","2006Q4","Outbound","Other reasons","Thousand","432"
"Number of Nights by Irish Residents","2007Q1","Domestic","All reasons for journey","Thousand","3983"
"Number of Nights by Irish Residents","2007Q1","Domestic","Holiday","Thousand","1948"
"Number of Nights by Irish Residents","2007Q1","Domestic","Business","Thousand","476"
"Number of Nights by Irish Residents","2007Q1","Domestic","Visiting friends/relatives","Thousand","1277"
"Number of Nights by Irish Residents","2007Q1","Domestic","Other reasons","Thousand","283"
"Number of Nights by Irish Residents","2007Q1","Outbound","All reasons for journey","Thousand","10431"
"Number of Nights by Irish Residents","2007Q1","Outbound","Holiday","Thousand","7067"
"Number of Nights by Irish Residents","2007Q1","Outbound","Business","Thousand","893"
"Number of Nights by Irish Residents","2007Q1","Outbound","Visiting friends/relatives","Thousand","2042"
"Number of Nights by Irish Residents","2007Q1","Outbound","Other reasons","Thousand","428"
"Number of Nights by Irish Residents","2007Q2","Domestic","All reasons for journey","Thousand","5909"
"Number of Nights by Irish Residents","2007Q2","Domestic","Holiday","Thousand","3434"
"Number of Nights by Irish Residents","2007Q2","Domestic","Business","Thousand","478"
"Number of Nights by Irish Residents","2007Q2","Domestic","Visiting friends/relatives","Thousand","1586"
"Number of Nights by Irish Residents","2007Q2","Domestic","Other reasons","Thousand","412"
"Number of Nights by Irish Residents","2007Q2","Outbound","All reasons for journey","Thousand","16460"
"Number of Nights by Irish Residents","2007Q2","Outbound","Holiday","Thousand","12746"
"Number of Nights by Irish Residents","2007Q2","Outbound","Business","Thousand","959"
"Number of Nights by Irish Residents","2007Q2","Outbound","Visiting friends/relatives","Thousand","1974"
"Number of Nights by Irish Residents","2007Q2","Outbound","Other reasons","Thousand","781"
"Number of Nights by Irish Residents","2007Q3","Domestic","All reasons for journey","Thousand","11415"
"Number of Nights by Irish Residents","2007Q3","Domestic","Holiday","Thousand","8693"
"Number of Nights by Irish Residents","2007Q3","Domestic","Business","Thousand","350"
"Number of Nights by Irish Residents","2007Q3","Domestic","Visiting friends/relatives","Thousand","1858"
"Number of Nights by Irish Residents","2007Q3","Domestic","Other reasons","Thousand","514"
"Number of Nights by Irish Residents","2007Q3","Outbound","All reasons for journey","Thousand","22941"
